"Nazwa";"Zadruk";"Laminowanie";"Mechanizm";"Wielobig";"Kółko grzbietowe";"Kieszonki (wklejane)";"Nakład";"Product quantity limit";"Koszt";"Dodatkowe dni"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ryggficka";"150";"199";"37.44";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ryggficka";"200";"249";"36.37";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ryggficka";"250";"299";"35.29";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ryggficka";"300";"399";"33.15";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ryggficka";"400";"499";"29.93";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ryggficka";"500";"599";"27.78";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ryggficka";"600";"699";"26.28";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ryggficka";"700";"799";"25.85";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ryggficka";"800";"899";"25.42";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ryggficka";"900";"999";"24.99";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ryggficka";"1000";"9999";"24.57";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"1";"9";"434.56";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"10";"19";"112.74";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"20";"49";"71.98";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"50";"74";"50.52";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"75";"99";"44.09";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"100";"149";"39.80";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"150";"199";"37.65";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"200";"249";"36.58";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"250";"299";"35.51";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"300";"399";"33.36";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"400";"499";"30.14";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"500";"599";"28.00";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"600";"699";"26.50";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"700";"799";"26.07";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"800";"899";"25.64";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"900";"999";"25.21";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Trekantig ficka";"1000";"9999";"24.78";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"1";"9";"433.91";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"10";"19";"112.10";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"20";"49";"71.34";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"50";"74";"49.88";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"75";"99";"43.45";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"100";"149";"39.15";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"150";"199";"37.01";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"200";"249";"35.94";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"250";"299";"34.86";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"300";"399";"32.72";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"400";"499";"29.50";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"500";"599";"27.35";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"600";"699";"25.85";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"700";"799";"25.42";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"800";"899";"24.99";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"900";"999";"24.57";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ficka för visitkort";"1000";"9999";"24.14";"0"
