Nazwa;Zadruk;Laminowanie;Mechanizm;Wielobig;Kółko grzbietowe;Kieszonki (wklejane);Nakład;Product quantity limit;Koszt;Dodatkowe dni
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Nej;Icke;1;9;201.85;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Nej;Icke;10;19;51.85;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Nej;Icke;20;49;32.85;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Nej;Icke;50;74;22.85;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Nej;Ryggficka;1;9;202.25;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Nej;Ryggficka;10;19;52.25;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Nej;Ryggficka;20;49;33.25;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Nej;Ryggficka;50;74;23.25;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Nej;Trekantig ficka;1;9;202.35;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Nej;Trekantig ficka;10;19;52.35;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Nej;Trekantig ficka;20;49;33.35;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Nej;Trekantig ficka;50;74;23.35;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Ficka för visitkort;1;9;202.85;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Ficka för visitkort;10;19;52.8;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Ficka för visitkort;20;49;33.8;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Ficka för visitkort;50;74;23.8;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Icke;1;9;202.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Icke;10;19;52.4;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Icke;20;49;33.4;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Icke;50;74;23.4;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Ryggficka;1;9;202.85;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Ryggficka;10;19;52.8;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Ryggficka;20;49;33.8;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Ryggficka;50;74;23.8;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Trekantig ficka;1;9;202.95;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Trekantig ficka;10;19;52.9;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Trekantig ficka;20;49;33.9;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Ja;Trekantig ficka;50;74;23.9;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Ficka för visitkort;1;9;202.5;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Ficka för visitkort;10;19;52.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Ficka för visitkort;20;49;33.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Ficka för visitkort;50;74;23.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Icke;1;9;202.1;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Icke;10;19;52.05;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Icke;20;49;33.05;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Icke;50;74;23.05;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Ryggficka;1;9;202.5;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Ryggficka;10;19;52.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Ryggficka;20;49;33.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Ryggficka;50;74;23.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Trekantig ficka;1;9;202.6;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Trekantig ficka;10;19;52.55;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Trekantig ficka;20;49;33.55;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Ja;Nej;Trekantig ficka;50;74;23.55;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Ficka för visitkort;1;9;202.65;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Ficka för visitkort;10;19;52.6;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Ficka för visitkort;20;49;33.6;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Ficka för visitkort;50;74;23.6;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Icke;1;9;202.25;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Icke;10;19;52.2;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Icke;20;49;33.2;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Icke;50;74;23.2;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Ryggficka;1;9;202.65;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Ryggficka;10;19;52.6;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Ryggficka;20;49;33.6;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Ryggficka;50;74;23.6;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Trekantig ficka;1;9;202.75;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Trekantig ficka;10;19;52.7;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Trekantig ficka;20;49;33.7;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Ja;Trekantig ficka;50;74;23.7;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Nej;Ficka för visitkort;1;9;202.3;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Nej;Ficka för visitkort;10;19;52.25;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Nej;Ficka för visitkort;20;49;33.25;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Nej;Ficka för visitkort;50;74;23.25;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Nej;Icke;1;9;201.9;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Nej;Icke;10;19;51.85;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Nej;Icke;20;49;32.85;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Nej;Icke;50;74;22.85;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Nej;Ryggficka;1;9;202.3;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Nej;Ryggficka;10;19;52.25;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Nej;Ryggficka;20;49;33.25;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Nej;Ryggficka;50;74;23.25;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR23;Nej;Nej;Trekantig ficka;1;9;202.4;0
