Name;Zadruk;Laminowanie;Mechanizm;Wielobig;Kó?ko grzbietowe;Kieszonki (wklejane);Nak?ad;Product quantity limit;Koszt;Dodatkowe dni
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Ryggficka;800;899;26.17;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Ryggficka;900;999;25.74;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Ryggficka;1000;9999;25.31;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;1;9;435.22;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;10;19;113.47;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;20;49;72.72;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;50;74;51.27;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;75;99;44.83;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;100;149;40.54;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;150;199;38.4;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;200;249;37.32;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;250;299;36.25;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;300;399;34.11;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;400;499;30.89;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;500;599;28.74;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;600;699;27.24;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;700;799;26.81;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;800;899;26.38;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;900;999;25.95;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Ja;Trekantig ficka;1000;9999;25.53;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;1;9;434.26;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;10;19;112.51;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;20;49;71.75;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;50;74;50.3;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;75;99;43.87;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;100;149;39.58;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;150;199;37.43;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;200;249;36.36;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;250;299;35.29;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;300;399;33.14;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;400;499;29.92;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;500;599;27.78;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;600;699;26.28;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;700;799;25.85;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;800;899;25.42;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;900;999;24.99;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ficka för visitkort;1000;9999;24.56;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;1;9;433.4;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;10;19;111.65;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;20;49;70.89;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;50;74;49.44;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;75;99;43.01;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;100;149;38.72;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;150;199;36.57;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;200;249;35.5;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;250;299;34.43;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;300;399;32.28;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;400;499;29.06;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;500;599;26.92;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;600;699;25.42;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;700;799;24.99;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;800;899;24.56;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;900;999;24.13;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Icke;1000;9999;23.7;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;1;9;434.26;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;10;19;112.51;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;20;49;71.75;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;50;74;50.3;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;75;99;43.87;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;100;149;39.58;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;150;199;37.43;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;200;249;36.36;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;250;299;35.29;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;300;399;33.14;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;400;499;29.92;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;500;599;27.78;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;600;699;26.28;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;700;799;25.85;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Ja;Nej;Ryggficka;800;899;25.42;0
